Customer_ID,Customer_Name,Gender,Age,City,Annual_Income,Purchase_Amount,Purchase_Date,Membership_Status,Payment_Method
CUST1019,Sneha Mishra,Female,59.0,DELHI,35949.0,657.15,2025-02-24,No,UPI
CUST1043,Pooja Sinha,Male,25.0,Kanpur,43284.0,11541.9,2025-05-07,Yes,UPI
CUST1037,Vikram Joshi,Female,52.0,Agra,46964.0,8468.17,2025-04-19,Yes,Cash
CUST1077,Rahul Yadav,Male,,Delhi,79115.0,5935.62,2025-08-17,No,UPI
CUST1054,Vikram Joshi,Male,23.0,Delhi,59124.0,5926.93,2025-06-09,No,Credit Card
CUST1092,Neha Kapoor,Male,44.0,Delhi,,9626.28,2025-10-01,Yes,Credit Card
CUST1057,Rohan Verma,Female,39.0,Agra,92752.0,14235.1,2025-06-18,Yes,UPI
CUST1082,,,32.0,,89275.0,676.24,,Yes,Credit Card
CUST1094,Priya Gupta,Male,44.0,Agra,68494.0,7090.85,2025-10-07,Yes,Debit Card
CUST1005,Aditya Jain,Female,,Lucknow,110738.0,11757.99,2025-01-13,No,Debit Card
CUST1028,Ananya Singh,female,57.0,Lucknow,35237.0,4751.56,2025-03-23,Yes,UPI
CUST1117,Ananya Singh,Female,40.0,Jaipur,74425.0,2857.95,2025-12-15,Yes,Cash
CUST1045,Nikhil Das,,26.0,Jaipur,114664.0,1966.28,2025-05-13,Yes,Debit Card
CUST1097,Nikhil Das,Female,56.0,Delhi,57350.0,250000,2025-10-16,Yes,UPI
CUST1020,Rohan Verma,Male,22.0,Kanpur,90000,13628.04,2025-02-27,Yes,Cash
CUST1078,Pooja Sinha,Male,36.0,Kanpur,118223.0,4642.83,2025-08-20,No,Cash
CUST1011,Rohan Verma,Male,57.0,Agra,116672.0,11440.87,15/01/2025,Yes,Credit Card
CUST1102,Kavya Agarwal,Female,45.0,Delhi,106797.0,7107.02,2025-10-31,No,Credit Card
CUST1012,Rahul Yadav,Male,53.0,Jaipur,103847.0,1995.3,2025-02-03,Yes,upi
CUST1115,Arjun Mehta,Female,34.0,Noida,90692.0,12300.03,2025-12-09,No,Debit Card
CUST1048,Nikhil Das,Female,36.0, kanpur,84340.0,1555.06,2025-05-22,Yes,Debit Card
CUST1079,Karan Malhotra,Female,46.0,Jaipur,5000000,13094.69,2025-08-23,No,UPI
CUST1001,Rahul Yadav,Female,53.0,Kanpur,88335.0,12199.1,2025-01-01,No,Debit Card
CUST1027,Neha Kapoor,Male,43.0,Noida,37805.0,7002.46,2025-03-20,No,Cash
CUST1032,Pooja Sinha,Female,39.0,Noida,33343.0,,2025-04-04,Yes,Credit Card
CUST1068,Kavya Agarwal,Male,60.0,Kanpur,90160.0,664.63,2025-07-21,Yes,UPI
CUST1013,Aditya Jain,,44.0,Lucknow,112750.0,13587.02,2025-02-06,Yes,Cash
CUST1025,Pooja Sinha,Male,22.0,Jaipur,46896.0,8814.85,2025-03-14,Yes,UPI
CUST1046,Isha Tiwari,Male,42.0,Lucknow,91389.0,1719.55,2025-05-16,Yes,Debit Card
CUST1109,Isha Tiwari,Female,55.0,Lucknow,68513.0,-1200,2025-11-21,No,UPI
CUST1090,Isha Tiwari,Male,23.0,Lucknow,112986.0,14554.89,2025-09-25,No,Debit Card
CUST1074,Pooja Sinha,Male,51.0,Delhi,81991.0,11317.65,2025-08-08,Yes,Debit Card
CUST1065,Pooja Sinha,Male,60.0,Delhi,95417.0,13642.14,2025-07-12,Yes,Debit Card
CUST1016,Arjun Mehta,Male,52.0,Lucknow,55945.0,5140.72,2025-02-15,No,UPI
CUST1113,Isha Tiwari,Male,24.0,Jaipur,37543.0,8273.4,2025-12-03,No,Credit Card
CUST1023,Ananya Singh,Male,37.0,Jaipur,104740.0,14275.9,2025/02/04,Yes,Debit Card
CUST1041,Nikhil Das,Female,58.0,Jaipur,97215.0,2197.47,2025-05-01,Y,Credit Card
